Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 16 february 2019,Liga,FC Barcelona,Real Valladolid,Real Valladolid,43,1,0,Penalty,Left foot,Won
 13 january 2019,Liga,FC Barcelona,Eibar,Eibar,53,2,0,Field goal,Left foot,Won
 22 december 2018,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,45,2,0,Field goal,Left foot,Won
 20 october 2018,Liga,FC Barcelona,Sevilla,Sevilla,12,2,0,Field goal,Left foot,Won
 23 september 2018,Liga,FC Barcelona,Girona,Girona,19,1,0,Field goal,Left foot,Draw
 18 august 2018,Liga,FC Barcelona,Alaves ,Alaves ,90+2,3,0,Field goal,Left foot,Won
 18 august 2018,Liga,FC Barcelona,Alaves ,Alaves ,64,1,0,Free kick,Left foot,Won
 9 may 2018,Liga,FC Barcelona,Villarreal,Villarreal,45,3,0,Field goal,Left foot,Won
 7 april 2018,Liga,FC Barcelona,Leganes,Leganes,32,2,0,Field goal,Left foot,Won
 7 april 2018,Liga,FC Barcelona,Leganes,Leganes,27,1,0,Free kick,Left foot,Won
 18 march 2018,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,30,2,0,Field goal,Left foot,Won
 4 march 2018,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,26,1,0,Free kick,Left foot,Won
 7 january 2018,Liga,FC Barcelona,Levante,Levante,12,1,0,Field goal,Left foot,Won
 1 october 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,77,3,0,Field goal,Left foot,Won
 1 october 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,71,2,0,Field goal,Left foot,Won
 19 september 2017,Liga,FC Barcelona,Eibar,Eibar,20,1,0,Penalty,Left foot,Won
 9 september 2017,Liga,FC Barcelona,Espanyol,Espanyol,67,3,0,Field goal,Left foot,Won
 9 september 2017,Liga,FC Barcelona,Espanyol,Espanyol,26,1,0,Field goal,Left foot,Won
 26 april 2017,Liga,FC Barcelona,Osasuna,Osasuna,12,1,0,Field goal,Left foot,Won
 15 april 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,37,2,0,Rebound,Left foot,Won
 15 april 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,17,1,0,Field goal,Left foot,Won
 5 april 2017,Liga,FC Barcelona,Sevilla,Sevilla,33,3,0,Field goal,Left foot,Won
 4 march 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,64,5,0,Solo run,Left foot,Won
 4 march 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,24,1,0,Solo run,Left foot,Won
 4 february 2017,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,40,2,0,Free kick,Left foot,Won
 15 october 2016,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,58,4,0,Field goal,Left foot,Won
 8 may 2016,Liga,FC Barcelona,Espanyol,Espanyol,8,1,0,Free kick,Left foot,Won
 12 march 2016,Liga,FC Barcelona,Getafe,Getafe,40,4,0,Field goal,Left foot,Won
 14 february 2016,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,28,1,0,Free kick,Left foot,Won
 17 january 2016,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,7,1,0,Penalty,Left foot,Won
 9 january 2016,Liga,FC Barcelona,Granada,Granada,58,3,0,Rebound,Left foot,Won
 9 january 2016,Liga,FC Barcelona,Granada,Granada,14,2,0,Field goal,Left foot,Won
 9 january 2016,Liga,FC Barcelona,Granada,Granada,8,1,0,Field goal,Left foot,Won
 12 december 2015,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,39,1,0,Free kick,Left foot,Draw
 28 november 2015,Liga,FC Barcelona,Real Sociedad,Real Sociedad,90+1,4,0,Field goal,Left foot,Won
 20 september 2015,Liga,FC Barcelona,Levante,Levante,61,3,0,Penalty,Left foot,Won
 28 april 2015,Liga,FC Barcelona,Getafe,Getafe,47,6,0,,Left foot,Won
 28 april 2015,Liga,FC Barcelona,Getafe,Getafe,9,1,0,Penalty,Left foot,Won
 18 april 2015,Liga,FC Barcelona,Valencia,Valencia,90+4,2,0,Rebound,Left foot,Won
 8 april 2015,Liga,FC Barcelona,UD Almeria,UD Almeria,33,1,0,Solo run,Left foot,Won
 8 march 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,68,5,0,,Left foot,Won
 8 march 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,63,4,0,Rebound,Left foot,Won
 8 march 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,56,3,0,Penalty,Left foot,Won
 15 february 2015,Liga,FC Barcelona,Levante,Levante,65,4,0,Penalty,Left foot,Won
 22 november 2014,Liga,FC Barcelona,Sevilla,Sevilla,21,1,0,Free kick,Left foot,Won
 18 october 2014,Liga,FC Barcelona,Eibar,Eibar,74,3,0,,Left foot,Won
 24 august 2014,Liga,FC Barcelona,Elche,Elche,63,3,0,,Left foot,Won
 24 august 2014,Liga,FC Barcelona,Elche,Elche,42,1,0,,Left foot,Won
 3 may 2014,Liga,FC Barcelona,Getafe,Getafe,23,1,0,,Left foot,Draw
 5 april 2014,Liga,FC Barcelona,Real Betis,Real Betis,15,1,0,Penalty,Left foot,Won
 16 march 2014,Liga,FC Barcelona,Osasuna,Osasuna,63,4,0,,Left foot,Won
 16 march 2014,Liga,FC Barcelona,Osasuna,Osasuna,18,1,0,,Left foot,Won
 2 march 2014,Liga,FC Barcelona,UD Almeria,UD Almeria,24,2,0,Free kick,Left foot,Won
 15 february 2014,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,68,5,0,,Left foot,Won
 15 february 2014,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,36,2,0,,Left foot,Won
 14 september 2013,Liga,FC Barcelona,Sevilla,Sevilla,75,2,0,,Left foot,Won
 18 august 2013,Liga,FC Barcelona,Levante,Levante,42,5,0,Penalty,Left foot,Won
 18 august 2013,Liga,FC Barcelona,Levante,Levante,12,2,0,,Left foot,Won
 17 march 2013,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,57,3,0,,Left foot,Won
 17 march 2013,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,40,2,0,,Left foot,Won
 9 march 2013,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,88,2,0,,Left foot,Won
 10 february 2013,Liga,FC Barcelona,Getafe,Getafe,13,2,0,,Left foot,Won
 6 january 2013,Liga,FC Barcelona,Espanyol,Espanyol,29,4,0,Penalty,Left foot,Won
 1 december 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,25,2,0,,Left foot,Won
 17 november 2012,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,16,1,0,,Left foot,Won
 5 may 2012,Liga,FC Barcelona,Espanyol,Espanyol,79,4,0,Penalty,Left foot,Won
 5 may 2012,Liga,FC Barcelona,Espanyol,Espanyol,74,3,0,,Left foot,Won
 5 may 2012,Liga,FC Barcelona,Espanyol,Espanyol,64,2,0,Penalty,Left foot,Won
 5 may 2012,Liga,FC Barcelona,Espanyol,Espanyol,12,1,0,Free kick,Left foot,Won
 10 april 2012,Liga,FC Barcelona,Getafe,Getafe,44,2,0,,Left foot,Won
 31 march 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,58,2,0,Penalty,Left foot,Won
 20 march 2012,Liga,FC Barcelona,Granada,Granada,17,2,0,Field goal,Left foot,Won
 4 february 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,72,2,0,,Left foot,Won
 15 january 2012,Liga,FC Barcelona,Real Betis,Real Betis,12,2,0,,Left foot,Won
 3 december 2011,Liga,FC Barcelona,Levante,Levante,55,4,0,,Left foot,Won
 29 november 2011,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,50,4,0,,Left foot,Won
 29 october 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,30,3,0,,Left foot,Won
 29 october 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,13,1,0,Penalty,Left foot,Won
 24 september 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,90+1,5,0,,Left foot,Won
 24 september 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,78,4,0,,Left foot,Won
 24 september 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,26,3,0,,Left foot,Won
 17 september 2011,Liga,FC Barcelona,Osasuna,Osasuna,79,8,0,,Left foot,Won
 17 september 2011,Liga,FC Barcelona,Osasuna,Osasuna,41,5,0,,Left foot,Won
 17 september 2011,Liga,FC Barcelona,Osasuna,Osasuna,5,1,0,,Left foot,Won
 29 august 2011,Liga,FC Barcelona,Villarreal,Villarreal,75,5,0,,Left foot,Won
 5 february 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,79,3,0,Rebound,Left foot,Won
 5 february 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,28,2,0,,Left foot,Won
 5 february 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,17,1,0,,Left foot,Won
 22 january 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,33,2,0,Penalty,Left foot,Won
 12 december 2010,Liga,FC Barcelona,Real Sociedad,Real Sociedad,87,4,0,Solo run,Left foot,Won
 12 december 2010,Liga,FC Barcelona,Real Sociedad,Real Sociedad,47,3,0,,Left foot,Won
 30 october 2010,Liga,FC Barcelona,Sevilla,Sevilla,64,4,0,Solo run,Left foot,Won
 30 october 2010,Liga,FC Barcelona,Sevilla,Sevilla,4,1,0,Rebound,Left foot,Won
 3 october 2010,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,1,0,,Left foot,Draw
 16 may 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,76,4,0,,Left foot,Won
 3 april 2010,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,67,4,0,,Left foot,Won
 14 march 2010,Liga,FC Barcelona,Valencia,Valencia,81,2,0,,Left foot,Won
 14 march 2010,Liga,FC Barcelona,Valencia,Valencia,56,1,0,,Left foot,Won
 6 february 2010,Liga,FC Barcelona,Getafe,Getafe,7,1,0,,Left foot,Won
 16 january 2010,Liga,FC Barcelona,Sevilla,Sevilla,90+1,4,0,,Left foot,Won
 16 january 2010,Liga,FC Barcelona,Sevilla,Sevilla,85,3,0,,Left foot,Won
 19 september 2009,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,16,2,0,,Left foot,Won
 7 march 2009,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,32,2,0,Penalty,Left foot,Won
 24 january 2009,Liga,FC Barcelona,Numancia,Numancia,49,1,0,,Left foot,Won
 17 january 2009,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,21,1,0,,Left foot,Won
 13 december 2008,Liga,FC Barcelona,Real Madrid,Real Madrid,90+1,2,0,,Left foot,Won
 4 october 2008,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,9,3,0,Free kick,Left foot,Won
 13 september 2008,Liga,FC Barcelona,Racing Santander,Racing Santander,71,1,0,Penalty,Left foot,Draw
 4 may 2008,Liga,FC Barcelona,Valencia,Valencia,6,1,0,Penalty,Left foot,Won
 24 november 2007,Liga,FC Barcelona,Recreativo Huelva,Recreativo Huelva,82,3,0,Penalty,Left foot,Won
 28 october 2007,Liga,FC Barcelona,UD Almeria,UD Almeria,81,2,0,Penalty,Left foot,Won
 7 october 2007,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,19,2,0,,Left foot,Won
 26 september 2007,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,5,1,0,,Left foot,Won
 22 september 2007,Liga,FC Barcelona,Sevilla,Sevilla,80,2,0,Penalty,Left foot,Won
 22 september 2007,Liga,FC Barcelona,Sevilla,Sevilla,74,1,0,,Left foot,Won
 31 march 2007,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,45,1,0,,Left foot,Won
 9 september 2006,Liga,FC Barcelona,Osasuna,Osasuna,37,3,0,,Left foot,Won
 22 january 2006,Liga,FC Barcelona,Alaves ,Alaves ,81,2,0,Rebound,Left foot,Won
 27 november 2005,Liga,FC Barcelona,Racing Santander,Racing Santander,52,2,0,,Left foot,Won
 1 may 2005,Liga,FC Barcelona,Albacete,Albacete,90,2,0,,Left foot,Won
 9 march 2019,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,51,2,1,Penalty,Left foot,Won
 2 february 2019,Liga,FC Barcelona,Valencia,Valencia,64,2,2,Field goal,Left foot,Draw
 2 february 2019,Liga,FC Barcelona,Valencia,Valencia,39,1,2,Penalty,Left foot,Draw
 11 november 2018,Liga,FC Barcelona,Real Betis,Real Betis,90+2,3,4,Field goal,Left foot,Lost
 11 november 2018,Liga,FC Barcelona,Real Betis,Real Betis,68,1,2,Penalty,Left foot,Lost
 2 september 2018,Liga,FC Barcelona,Huesca,Huesca,61,6,2,Field goal,Left foot,Won
 6 may 2018,Liga,FC Barcelona,Real Madrid,Real Madrid,52,2,1,Field goal,Left foot,Draw
 7 april 2018,Liga,FC Barcelona,Leganes,Leganes,87,3,1,Field goal,Left foot,Won
 24 february 2018,Liga,FC Barcelona,Girona,Girona,36,3,1,Free kick,Left foot,Won
 24 february 2018,Liga,FC Barcelona,Girona,Girona,30,2,1,Field goal,Left foot,Won
 28 january 2018,Liga,FC Barcelona,Alaves ,Alaves ,84,2,1,Free kick,Left foot,Won
 2 december 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,22,1,1,Field goal,Left foot,Draw
 19 september 2017,Liga,FC Barcelona,Eibar,Eibar,87,6,1,Field goal,Left foot,Won
 19 september 2017,Liga,FC Barcelona,Eibar,Eibar,62,5,1,Field goal,Left foot,Won
 19 september 2017,Liga,FC Barcelona,Eibar,Eibar,59,4,1,Field goal,Left foot,Won
 21 may 2017,Liga,FC Barcelona,Eibar,Eibar,76,3,2,Penalty,Left foot,Won
 6 may 2017,Liga,FC Barcelona,Villarreal,Villarreal,82,4,1,Penalty,Left foot,Won
 6 may 2017,Liga,FC Barcelona,Villarreal,Villarreal,45,2,1,Field goal,Left foot,Won
 26 april 2017,Liga,FC Barcelona,Osasuna,Osasuna,61,4,1,Field goal,Left foot,Won
 19 march 2017,Liga,FC Barcelona,Valencia,Valencia,45,2,1,Penalty,Left foot,Won
 19 february 2017,Liga,FC Barcelona,Leganes,Leganes,89,2,1,Penalty,Left foot,Won
 18 december 2016,Liga,FC Barcelona,Espanyol,Espanyol,90,4,1,Field goal,Left foot,Won
 20 august 2016,Liga,FC Barcelona,Real Betis,Real Betis,57,5,1,Field goal,Left foot,Won
 20 august 2016,Liga,FC Barcelona,Real Betis,Real Betis,37,2,1,Field goal,Left foot,Won
 28 february 2016,Liga,FC Barcelona,Sevilla,Sevilla,31,1,1,Free kick,Left foot,Won
 30 january 2016,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,30,1,1,Field goal,Left foot,Won
 20 september 2015,Liga,FC Barcelona,Levante,Levante,90,4,1,Solo run,Left foot,Won
 11 january 2015,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,87,3,1,,Left foot,Won
 7 december 2014,Liga,FC Barcelona,Espanyol,Espanyol,45,1,1,,Left foot,Won
 22 november 2014,Liga,FC Barcelona,Sevilla,Sevilla,78,5,1,,Left foot,Won
 20 april 2014,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,74,2,1,Free kick,Left foot,Won
 1 february 2014,Liga,FC Barcelona,Valencia,Valencia,54,2,2,Penalty,Left foot,Lost
 5 may 2013,Liga,FC Barcelona,Real Betis,Real Betis,71,4,2,,Left foot,Won
 5 may 2013,Liga,FC Barcelona,Real Betis,Real Betis,60,3,2,Free kick,Left foot,Won
 23 february 2013,Liga,FC Barcelona,Sevilla,Sevilla,60,2,1,,Left foot,Won
 27 january 2013,Liga,FC Barcelona,Osasuna,Osasuna,58,5,1,,Left foot,Won
 27 january 2013,Liga,FC Barcelona,Osasuna,Osasuna,56,4,1,,Left foot,Won
 27 january 2013,Liga,FC Barcelona,Osasuna,Osasuna,28,2,1,Penalty,Left foot,Won
 16 december 2012,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,88,4,1,,Left foot,Won
 16 december 2012,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,57,3,1,,Left foot,Won
 17 november 2012,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,60,3,1,,Left foot,Won
 7 october 2012,Liga,FC Barcelona,Real Madrid,Real Madrid,61,2,1,Free kick,Left foot,Draw
 7 october 2012,Liga,FC Barcelona,Real Madrid,Real Madrid,31,1,1,,Left foot,Draw
 19 august 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,16,3,1,,Left foot,Won
 19 august 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,11,2,1,,Left foot,Won
 2 may 2012,Liga,FC Barcelona,Malaga,Malaga,64,4,1,,Left foot,Won
 2 may 2012,Liga,FC Barcelona,Malaga,Malaga,59,3,1,Penalty,Left foot,Won
 2 may 2012,Liga,FC Barcelona,Malaga,Malaga,35,2,1,Penalty,Left foot,Won
 20 march 2012,Liga,FC Barcelona,Granada,Granada,86,5,2,Field goal,Left foot,Won
 20 march 2012,Liga,FC Barcelona,Granada,Granada,67,3,2,Field goal,Left foot,Won
 19 february 2012,Liga,FC Barcelona,Valencia,Valencia,85,4,1,,Left foot,Won
 19 february 2012,Liga,FC Barcelona,Valencia,Valencia,76,3,1,Rebound,Left foot,Won
 19 february 2012,Liga,FC Barcelona,Valencia,Valencia,27,2,1,Rebound,Left foot,Won
 19 february 2012,Liga,FC Barcelona,Valencia,Valencia,22,1,1,,Left foot,Won
 15 january 2012,Liga,FC Barcelona,Real Betis,Real Betis,86,4,2,Penalty,Left foot,Won
 9 april 2011,Liga,FC Barcelona,UD Almeria,UD Almeria,90+2,3,1,,Left foot,Won
 9 april 2011,Liga,FC Barcelona,UD Almeria,UD Almeria,53,1,1,Penalty,Left foot,Won
 13 november 2010,Liga,FC Barcelona,Villarreal,Villarreal,83,3,1,,Left foot,Won
 7 november 2009,Liga,FC Barcelona,Real Mallorca,Real Mallorca,87,4,1,Penalty,Left foot,Won
 25 october 2009,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,80,5,1,Field goal,Left foot,Won
 24 february 2008,Liga,FC Barcelona,Levante,Levante,44,2,1,,Left foot,Won
 26 september 2007,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,11,2,1,,Left foot,Won
 10 march 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,90,3,3,,Left foot,Draw
 10 march 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,28,2,2,Rebound,Left foot,Draw
 10 march 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,11,1,1,,Left foot,Draw
 18 february 2006,Liga,FC Barcelona,Real Betis,Real Betis,85,5,1,Rebound,Left foot,Won
 15 january 2006,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,51,2,1,Rebound,Left foot,Won
 20 january 2019,Liga,FC Barcelona,Leganes,Leganes,90+2,3,1,Field goal,Right foot,Won
 2 september 2018,Liga,FC Barcelona,Huesca,Huesca,16,1,1,Field goal,Right foot,Won
 9 september 2017,Liga,FC Barcelona,Espanyol,Espanyol,35,2,0,Field goal,Right foot,Won
 21 may 2017,Liga,FC Barcelona,Eibar,Eibar,90+2,4,2,Solo run,Right foot,Won
 5 april 2017,Liga,FC Barcelona,Sevilla,Sevilla,28,2,0,Field goal,Right foot,Won
 19 march 2017,Liga,FC Barcelona,Valencia,Valencia,53,3,2,Field goal,Right foot,Won
 1 march 2017,Liga,FC Barcelona,Sporting Gijon,Sporting Gijon,9,1,0,Field goal,Head,Won
 19 february 2017,Liga,FC Barcelona,Leganes,Leganes,4,1,0,Field goal,Right foot,Won
 14 january 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,52,2,0,Rebound,Right foot,Won
 23 april 2016,Liga,FC Barcelona,Sporting Gijon,Sporting Gijon,12,1,0,Rebound,Head,Won
 17 april 2016,Liga,FC Barcelona,Valencia,Valencia,63,1,2,Field goal,Right foot,Lost
 30 december 2015,Liga,FC Barcelona,Real Betis,Real Betis,33,2,0,Field goal,Right foot,Won
 23 may 2015,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,59,2,0,,Right foot,Draw
 23 may 2015,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,5,1,0,,Head,Draw
 15 february 2015,Liga,FC Barcelona,Levante,Levante,59,3,0,,Right foot,Won
 15 february 2015,Liga,FC Barcelona,Levante,Levante,38,2,0,,Right foot,Won
 1 february 2015,Liga,FC Barcelona,Villarreal,Villarreal,55,3,2,,Right foot,Won
 20 december 2014,Liga,FC Barcelona,Cordoba,Cordoba,90+1,5,0,,Right foot,Won
 20 december 2014,Liga,FC Barcelona,Cordoba,Cordoba,82,4,0,,Right foot,Won
 7 december 2014,Liga,FC Barcelona,Espanyol,Espanyol,81,5,1,,Right foot,Won
 7 december 2014,Liga,FC Barcelona,Espanyol,Espanyol,50,2,1,,Right foot,Won
 22 november 2014,Liga,FC Barcelona,Sevilla,Sevilla,72,4,1,,Right foot,Won
 27 september 2014,Liga,FC Barcelona,Granada,Granada,82,6,0,,Right foot,Won
 27 september 2014,Liga,FC Barcelona,Granada,Granada,62,4,0,,Head,Won
 5 april 2014,Liga,FC Barcelona,Real Betis,Real Betis,86,3,1,Rebound,Right foot,Won
 26 march 2014,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,30,2,0,,Right foot,Won
 16 march 2014,Liga,FC Barcelona,Osasuna,Osasuna,88,6,0,,Right foot,Won
 24 september 2013,Liga,FC Barcelona,Real Sociedad,Real Sociedad,8,2,0,,Head,Won
 27 january 2013,Liga,FC Barcelona,Osasuna,Osasuna,11,1,0,,Right foot,Won
 1 december 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,70,5,1,,Right foot,Won
 19 november 2011,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,43,2,0,,Right foot,Won
 29 october 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,2,0,,Right foot,Won
 15 october 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,68,3,0,,Right foot,Won
 15 october 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,11,1,0,,Right foot,Won
 29 august 2011,Liga,FC Barcelona,Villarreal,Villarreal,52,4,0,,Right foot,Won
 23 april 2011,Liga,FC Barcelona,Osasuna,Osasuna,87,2,0,,Right foot,Won
 20 february 2011,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,78,2,1,,Right foot,Won
 13 november 2010,Liga,FC Barcelona,Villarreal,Villarreal,58,2,1,,Right foot,Won
 16 may 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,62,3,0,,Right foot,Won
 4 may 2010,Liga,FC Barcelona,Tenerife,Tenerife,90+3,4,1,,Right foot,Won
 4 may 2010,Liga,FC Barcelona,Tenerife,Tenerife,17,1,0,,Right foot,Won
 14 march 2010,Liga,FC Barcelona,Valencia,Valencia,83,3,0,,Right foot,Won
 27 february 2010,Liga,FC Barcelona,Malaga,Malaga,84,2,1,Field goal,Right foot,Won
 19 september 2009,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,90+4,5,2,,Right foot,Won
 22 march 2009,Liga,FC Barcelona,Malaga,Malaga,25,2,0,,Right foot,Won
 24 january 2009,Liga,FC Barcelona,Numancia,Numancia,76,4,1,Rebound,Right foot,Won
 9 june 2007,Liga,FC Barcelona,Espanyol,Espanyol,57,2,1,,Right foot,Draw
 9 june 2007,Liga,FC Barcelona,Espanyol,Espanyol,43,1,1,,Hand,Draw
 15 october 2006,Liga,FC Barcelona,Sevilla,Sevilla,81,3,1,,Right foot,Won
 18 september 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,87,4,0,Field goal,Right foot,Won
 14 march 2018,Champions League,FC Barcelona,Chelsea,Chelsea,3,1,0,Field goal,Right foot,Won
 17 august 2016,,FC Barcelona,Sevilla,Sevilla,55,3,0,Field goal,Head,Won
 6 may 2015,Champions League,FC Barcelona,Bayern Munchen,Bayern Munchen,80,2,0,,Right foot,Won
 10 december 2014,Champions League,FC Barcelona,Paris Saint-Germayn,Paris Saint-Germayn,19,1,1,,Right foot,Won
 19 september 2012,Champions League,FC Barcelona,Spartak Moscow,Spartak Moscow,80,3,2,,Head,Won
 7 march 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,49,3,0,,Right foot,Won
 4 january 2012,,FC Barcelona,Osasuna,Osasuna,73,3,0,,Head,Won
 17 august 2011,,FC Barcelona,Real Madrid,Real Madrid,45,2,1,Field goal,Right foot,Won
 21 august 2010,,FC Barcelona,Sevilla,Sevilla,43,3,0,,Right foot,Won
 6 april 2010,Champions League,FC Barcelona,Arsenal,Arsenal,37,2,1,,Right foot,Won
 23 august 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,50,1,0,,Right foot,Won
 27 may 2009,Champions League,FC Barcelona,Manchester United,Manchester United,70,2,0,,Head,Won
 8 april 2009,Champions League,FC Barcelona,Bayern Munchen,Bayern Munchen,38,3,0,,Right foot,Won
 18 april 2007,,FC Barcelona,Getafe,Getafe,29,2,0,Solo run,Right foot,Won
 1 february 2006,,FC Barcelona,Real Zaragoza,Real Zaragoza,42,1,0,Field goal,Head,Won
 30 january 2019,,FC Barcelona,Sevilla,Sevilla,90+2,6,1,Field goal,Left foot,Won
 17 january 2019,,FC Barcelona,Levante,Levante,54,3,0,Field goal,Left foot,Won
