Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 10 november 2009,,FC Barcelona,Cultural Leonesa,Cultural Leonesa,64,4,0,,Left foot,Won
 29 september 2009,Champions League,FC Barcelona,Dynamo Kyiv,Dynamo Kyiv,26,1,0,,Left foot,Won
 23 august 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,68,2,0,Penalty,Left foot,Won
 8 april 2009,Champions League,FC Barcelona,Bayern Munchen,Bayern Munchen,9,1,0,,Left foot,Won
 11 march 2009,Champions League,FC Barcelona,Olympique Lyon,Olympique Lyon,40,3,0,,Left foot,Won
 12 november 2008,,FC Barcelona,Benidorm,Benidorm,87,1,0,Rebound,Left foot,Won
 4 november 2008,Champions League,FC Barcelona,FC Basel,FC Basel,62,1,0,,Left foot,Draw
 7 november 2007,Champions League,FC Barcelona,Glasgow Rangers,Glasgow Rangers,43,2,0,Rebound,Left foot,Won
 19 september 2007,Champions League,FC Barcelona,Olympique Lyon,Olympique Lyon,83,2,0,,Left foot,Won
 18 april 2007,,FC Barcelona,Getafe,Getafe,45,3,0,,Left foot,Won
 2 november 2005,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,34,3,0,,Left foot,Won
 26 june 2018,World Cup,Nigeria,Nigeria,Argentina,14,0,1,Field goal,Right foot,Won
 29 may 2018,,Argentina,Haiti,Haiti,66,3,0,Field goal,Left foot,Won
 29 may 2018,,Argentina,Haiti,Haiti,58,2,0,Rebound,Right foot,Won
 29 may 2018,,Argentina,Haiti,Haiti,17,1,0,Penalty,Left foot,Won
 10 october 2017,,Ecuador,Ecuador,Argentina,63,1,3,Field goal,Left foot,Won
 10 october 2017,,Ecuador,Ecuador,Argentina,20,1,2,Field goal,Left foot,Won
 10 october 2017,,Ecuador,Ecuador,Argentina,12,1,1,Field goal,Left foot,Won
 23 march 2017,,Argentina,Chile,Chile,16,1,0,Penalty,Left foot,Won
